CountryName,CountryId,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016
Austria,AT,-44629,-34065,-49371,-14030,-21663,-20553,6942,-24111,1205,16217,18997,9367,17322,18172,12583,6210,5902,-17690
Belgium,BE,131714,111278,119267,113474,181893,244773,178422,206676,199636,91963,108142,145957,77521,61196,51175,172782,211681,165524
Bulgaria,BG,-2302,-5508,-2631,-1189,-1315,-1546,-1687,-3457,-3430,395,462,-988,1147,946,467,-785,-898,-203
Croatia,HR,1751,1859,1038,-347,17,-356,430,-445,-551,1036,1150,-31,637,611,411,-339,156,-130
Cyprus,CY,9528,7332,10076,5547,3888,5169,5254,4502,6070,1507,1536,998,1971,1960,1558,4097,2717,9422
Czech Republic,CZ,-1527707,-1471960,-1562398,-1351932,-2027290,-2352638,-1191880,-1683480,-670969,2305,2358,-345734,2655,1866,1998,-415624,-399104,-1618484
Denmark,DK,-1139442,-957778,-1382534,-1141536,-1675249,-1817561,-1020041,-1335466,-690378,25824,30045,-352853,23499,26337,22903,-424213,-400042,-1500873
Estonia,EE,298,223,142,179,-2375,-45,-2,8,-72,202,239,394,269,206,85,83,113,70
Finland,FI,-290876,-237748,-342985,-300474,-299279,-421472,-202074,-270311,-191183,16543,15773,-49982,18906,16705,11011,-59565,-55755,-299336
France,FR,964952,859728,992793,955365,952399,983571,714824,860975,736402,222043,240218,350053,229053,203256,142496,516084,413077,941549
Germany,DE,876984,674834,792344,718719,907719,1083634,802091,899923,660222,314571,347245,500696,329951,315018,213971,552158,538426,966283
Greece,GR,-41549,-15098,223,-2010,4731,21443,20443,16472,29998,18855,21341,21074,17058,21665,13730,25125,17315,1818
Hungary,HU,6182,5058,7999,14535,10615,10475,7795,9502,8703,5100,4939,7281,4378,4206,2792,8154,7007,14308
Republic of Ireland,IE,397892,331135,331883,347279,493202,587079,448563,423656,404120,107851,134768,171633,106666,102658,85281,313661,277957,431384
Italy,IT,48500,100785,154558,130066,110177,138813,166961,130046,175724,133735,149728,148376,134175,135312,113954,153942,153219,133619
Latvia,LV,442,234,459,427,232,993,490,284,914,135,73,14,96,91,34,225,43,566
Lithuania,LT,-32305,-29586,-37413,-33529,-27548,-37007,-17133,-22310,-10438,171,118,-8839,147,196,253,-10770,-9420,-42545
Luxembourg,LU,347627,283906,290159,310740,368913,402669,300177,335409,254000,130411,171826,204401,136972,121220,62393,183743,244051,375188
Malta,MT,21,976,2129,2170,3005,3508,1868,606,4378,648,854,1632,515,551,470,1359,-857,6752
Netherlands,NL,643414,568842,634786,581256,693367,692754,614735,640834,608860,355872,370305,428288,337548,338535,180273,445778,396124,689182
Poland,PL,19360,15718,18722,16688,9474,13698,12250,10363,9064,6987,8022,8161,5645,4602,2824,8496,8555,11998
Portugal,PT,-55717,-47874,-61656,-53616,-94746,-160870,-40585,-90134,-12994,21544,25839,-684,21150,14247,10492,-1852,-258,-59130
Romania,RO,3908,3837,4330,3454,3603,6256,4693,4371,3106,712,1064,1562,561,314,362,1775,2136,4022
Slovakia,SK,-2129,-2374,-1435,108,200,-1034,398,-164,286,655,873,-405,402,535,859,-405,-310,362
Slovenia,SI,-2022,-2003,-1945,-1804,-1228,-980,-818,-664,-318,317,444,471,498,564,601,603,690,1838
Spain,ES,173298,144739,177589,194912,263247,342504,302994,271836,247101,60657,86931,123438,64341,51512,50156,218287,199092,234197
Sweden,SE,97774,90172,94749,96264,104333,108363,89928,100456,90318,42179,49523,64049,53633,59312,40390,87018,82380,98461
European Central Bank,#N/A,-9929,-8589,-8981,-6952,-8333,-10222,-4943,-6146,-3750,0,0,-4653,0,0,0,-5600,-5379,-6199
EU Institutions,#N/A,5728026,5273368,5465389,4738588,5894170,5953254,3301436,4827030,2460950,136482,125931,1025887,104307,112994,494940,1695842,1368024,4797024
Iceland,IS,-58173,-49012,-80637,-68071,-74724,-49715,-31841,-55900,-5660,860,1586,-14780,1031,978,648,-14471,-15859,-88584
Liechtenstein,LI,691,671,652,418,870,833,831,587,1010,728,858,512,731,982,799,810,610,544
Norway,NO,47476,43301,41069,45923,39749,99487,40264,41189,61746,19469,22776,30219,17800,19142,14290,53025,40645,48179
Switzerland,CH,357148,285288,278105,270758,367021,356550,259522,328156,303581,145066,166031,164209,146610,174893,126414,168616,178873,306793
Albania,AL,276,238,274,281,248,305,343,185,44,-4,0,-11,0,0,0,-11,-12,210
Belarus,BY,-45827,-42593,-44754,-33081,-52870,-89844,-30492,-48709,-22424,0,0,-12816,0,0,0,-15393,-14816,-46161
Russia,RU,-227147,-134491,-136266,-109021,-160314,-164503,-81546,-147548,-13018,8270,11618,-24971,7450,4236,3525,-13612,-9855,-135017
Turkey,TR,-903932,-992616,-999576,-873647,-1431173,-1576549,-825278,-1104487,-416359,8760,6769,-185424,7461,7280,5691,-229355,-223564,-1123415
Ukraine,UA,260,365,861,1551,2182,5454,4241,3983,5697,168,257,782,106,94,156,3963,3382,1771
Serbia,RS,-1735,-2236,-3610,189,-999,-6327,-870,-1902,-431,36,31,-462,37,53,29,-403,-379,-569
Montenegro,ME,-3338,-1507,-1686,-253,-183,-2627,46,122,-249,8,6,-36,7,11,7,-5,-13,-305
Argentina,AR,-1525,-3280,-8540,-9975,-15354,-18174,-10731,-10114,-2614,3452,3598,-2785,5468,8418,7845,-2159,-677,-11371
Brazil,BR,44540,67584,64662,70762,89192,26178,35428,71341,29052,9723,9294,12105,12132,9805,7383,19576,15257,95691
Canada,CA,95569,72938,82193,63336,31747,76465,81760,58933,105229,51044,43246,36508,47228,44570,26458,84320,57768,61160
Chile,CL,2802,5005,4291,25809,542,-1775,1666,1618,2497,3942,3702,4333,3717,2988,2373,2609,5678,5489
Colombia,CO,2010,1249,-2902,3051,1409,3076,3163,4062,2661,3175,3583,3256,2413,2973,1708,2617,3384,1524
Mexico,MX,32471,30114,27456,28570,24327,15762,12707,17328,14370,8164,8230,11104,10230,9128,9567,14553,17064,24734
United States,US,3220167,3022933,2999743,2643454,3381775,3436967,2539207,2900303,2090797,669235,798927,1147039,724120,636275,688828,1752192,1473092,2863086
Uruguay,UY,-10895,-10762,-13412,-11604,-19136,-13604,-8038,-14027,-4546,322,263,-4610,301,313,287,-5665,-5174,-16185
Venezuela,VE,-1116230,-1164987,-1198990,-1031237,-1609617,-1805141,-945629,-1281858,-552527,1802,1138,-255066,1879,1927,2036,-317983,-294351,-1274736
Other Central American Countries,#N/A,491468,406263,453548,377951,362413,441376,367510,372199,380378,123399,142513,201220,106875,120722,55184,306763,277963,356270
Other,#N/A,2112,1876,1610,1411,2490,1875,1541,3083,1184,1485,1805,3841,984,1327,828,4902,4773,1959
Worlddata,W1,3335005,3653653,3423693,3183858,3115394,3084478,3189149,2937198,2557654,1913860,1679628,1487004,1222098,875339,618167,793155,944170,756744
